mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
0	SESS_START	n/a	LTP063	ltpFR	15	n/a	n/a	n/a	n/a	0	4	n/a	n/a	n/a	n/a	n/a	n/a
54609	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	BEAST	108	0	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
58657	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	ISLAND	745	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
62839	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	PROTON	1132	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
66729	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	PANTHER	1009	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
70736	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	DAM	436	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
74918	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	BISON	131	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
78867	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	BERRY	122	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
82907	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	ALLEY	15	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
87106	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	CONCRETE	361	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
90988	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	ROAD	1196	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
95045	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	WAITRESS	1581	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
98985	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	FEAST	556	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
102867	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	COLUMN	350	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
107032	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	EDITORIAL	517	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
110964	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	SLUG	1329	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
114896	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	TOMATO	1476	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
120770	REC_START	n/a	LTP063	ltpFR	15	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
121663	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	SLUG	1329	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
122651	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	TOMATO	1476	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
124606	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	BEAST	108	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
126262	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	BISON	131	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
127400	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	PANTHER	1009	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
129211	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	ISLAND	745	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
136489	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	WAITRESS	1581	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
137517	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	CONCRETE	361	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
138923	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	ROAD	1196	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
140106	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	COLUMN	350	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
148023	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	PROTON	1132	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
151440	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	BERRY	122	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
152852	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	FEAST	556	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
157531	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	n/a	BUILDING	191	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
199982	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	2	0	STONE	1385	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
203848	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	2	0	VIOLIN	1571	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
207904	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	2	0	DIRECTOR	471	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
212053	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	2	0	WITNESS	1618	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
216102	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	2	0	BLUEBERRY	140	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
219934	WORD	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	2	1	WORKER	1621	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
