onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
240.112	n/a	SESS_START	120056	n/a	LTP063	ltpFR	15	n/a	n/a	n/a	n/a	0	4	n/a	n/a	n/a	n/a	n/a	n/a
294.724	n/a	WORD	147362	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	BEAST	108	0	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
298.772	n/a	WORD	149386	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	ISLAND	745	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
302.954	n/a	WORD	151477	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	PROTON	1132	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
306.844	n/a	WORD	153422	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	PANTHER	1009	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
310.852	n/a	WORD	155426	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	DAM	436	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
315.034	n/a	WORD	157517	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	BISON	131	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
318.984	n/a	WORD	159492	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	BERRY	122	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
323.024	n/a	WORD	161512	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	ALLEY	15	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
327.222	n/a	WORD	163611	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	CONCRETE	361	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
331.104	n/a	WORD	165552	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	ROAD	1196	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
335.162	n/a	WORD	167581	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	WAITRESS	1581	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
339.102	n/a	WORD	169551	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	FEAST	556	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
342.984	n/a	WORD	171492	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	0	COLUMN	350	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
347.15	n/a	WORD	173575	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	EDITORIAL	517	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
351.082	n/a	WORD	175541	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	SLUG	1329	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
355.014	n/a	WORD	177507	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	TOMATO	1476	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
360.888	n/a	REC_START	180444	n/a	LTP063	ltpFR	15	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
361.782	n/a	REC_WORD	180891	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	SLUG	1329	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
362.77	n/a	REC_WORD	181385	wordpools/wasnorm_wordpool.txt	LTP063	ltpFR	15	1	1	TOMATO	1476	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
