mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	n/a	n/a	0	0	0
17298	START	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
17312	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	-1	14	9	2	3
19379	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	-1	10	8	1	1
20649	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	-1	8	3	3	2
21899	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	-1	24	6	7	9
26187	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	-1	10	2	6	2
28621	STOP	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
62232	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	JELLY	755	n/a	n/a	0	0	0
64800	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	SHORTCAKE	1292	n/a	n/a	0	0	0
67230	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	TROMBONE	1508	n/a	n/a	0	0	0
69782	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	GUITAR	670	n/a	n/a	0	0	0
72201	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	FARMER	553	n/a	n/a	0	0	0
74836	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	PICNIC	1060	n/a	n/a	0	0	0
77444	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	MAILMAN	858	n/a	n/a	0	0	0
80091	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	PLUTO	1092	n/a	n/a	0	0	0
82859	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	SOFTBALL	1343	n/a	n/a	0	0	0
85367	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	UMPIRE	1535	n/a	n/a	0	0	0
88148	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	SUMMIT	1405	n/a	n/a	0	0	0
90604	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	SURVEY	1414	n/a	n/a	0	0	0
93269	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	LADDER	793	n/a	n/a	0	0	0
95804	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	PORTRAIT	1111	n/a	n/a	0	0	0
98573	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	SKETCH	1315	n/a	n/a	0	0	0
101227	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	GIFT	635	n/a	n/a	0	0	0
103978	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	RATTLE	1170	n/a	n/a	0	0	0
106547	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	TUTU	1524	n/a	n/a	0	0	0
109083	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	KEEPER	769	n/a	n/a	0	0	0
111734	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	SHRUB	1299	n/a	n/a	0	0	0
114255	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	COFFEE	341	n/a	n/a	0	0	0
117006	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	POISON	1096	n/a	n/a	0	0	0
119825	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	ZIPPER	1636	n/a	n/a	0	0	0
122377	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	1	BANQUET	86	n/a	n/a	0	0	0
123983	START	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
125058	DISTRACTOR	n/a	LTP269	ltpFR2	12	1	n/a	n/a	n/a	n/a	0	0	0
125064	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	1	17	7	2	8
126580	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	1	10	1	7	2
127932	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	1	17	7	3	7
