onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
-0.002	n/a	SESS_START	-1	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	n/a	n/a	0	0	0
222.786	n/a	SESS_START	111393	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	n/a	n/a	0	0	0
235.934	n/a	START	117967	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
235.966	n/a	PROB	117983	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	19	5	6	8
237.832	n/a	PROB	118916	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	18	6	9	3
238.968	n/a	PROB	119484	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	14	2	8	4
240.068	n/a	PROB	120034	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	20	8	4	8
241.252	n/a	PROB	120626	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	13	2	2	9
242.838	n/a	PROB	121419	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	19	6	8	5
244.238	n/a	PROB	122119	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	14	7	2	5
245.372	n/a	PROB	122686	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	17	6	7	4
246.818	n/a	STOP	123409	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
282.122	n/a	DISTRACTOR	141061	n/a	LTP293	ltpFR2	5	1	n/a	n/a	n/a	n/a	0	0	0
282.122	n/a	START	141061	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
282.154	n/a	PROB	141077	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	13	1	7	5
283.404	n/a	PROB	141702	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	16	4	7	5
284.822	n/a	PROB	142411	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	23	9	8	6
286.558	n/a	PROB	143279	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	16	6	6	4
287.708	n/a	PROB	143854	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	13	5	1	7
288.944	n/a	PROB	144472	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	22	9	6	7
290.144	n/a	PROB	145072	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	12	3	7	2
291.212	n/a	PROB	145606	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	16	7	3	6
292.23	n/a	PROB	146115	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	13	2	3	8
293.446	n/a	PROB	146723	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	19	1	9	9
294.882	n/a	PROB	147441	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	20	6	5	9
297.068	n/a	PROB	148534	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	10	7	2	1
298.368	n/a	PROB	149184	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	15	5	1	9
299.568	n/a	PROB	149784	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	15	3	9	3
300.854	n/a	PROB	150427	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	18	2	7	9
301.838	n/a	PROB	150919	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	15	1	7	7
302.872	n/a	PROB	151436	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	14	3	4	7
303.94	n/a	PROB	151970	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	16	6	8	2
305.116	n/a	STOP	152558	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
307.308	n/a	WORD	153654	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	AUTHOR	61	n/a	n/a	0	0	0
310.078	n/a	WORD	155039	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	JOURNAL	760	n/a	n/a	0	0	0
312.612	n/a	WORD	156306	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	VIKING	1565	n/a	n/a	0	0	0
315.448	n/a	WORD	157724	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CRAB	397	n/a	n/a	0	0	0
318.268	n/a	WORD	159134	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	YACHT	1629	n/a	n/a	0	0	0
320.852	n/a	WORD	160426	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CASKET	255	n/a	n/a	0	0	0
323.304	n/a	WORD	161652	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	PARTNER	1017	n/a	n/a	0	0	0
325.758	n/a	WORD	162879	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	SHELTER	1282	n/a	n/a	0	0	0
328.192	n/a	WORD	164096	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	KEEPER	769	n/a	n/a	0	0	0
330.962	n/a	WORD	165481	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	RAFT	1159	n/a	n/a	0	0	0
333.78	n/a	WORD	166890	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	SCALPEL	1243	n/a	n/a	0	0	0
336.266	n/a	WORD	168133	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	SERVER	1272	n/a	n/a	0	0	0
338.886	n/a	WORD	169443	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	EMPIRE	530	n/a	n/a	0	0	0
341.704	n/a	WORD	170852	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	PADDLE	1000	n/a	n/a	0	0	0
344.306	n/a	WORD	172153	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	FUNGUS	614	n/a	n/a	0	0	0
347.126	n/a	WORD	173563	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	TOASTER	1472	n/a	n/a	0	0	0
349.644	n/a	WORD	174822	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	SUITCASE	1403	n/a	n/a	0	0	0
352.18	n/a	WORD	176090	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CHEST	295	n/a	n/a	0	0	0
354.882	n/a	WORD	177441	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	PALACE	1006	n/a	n/a	0	0	0
357.652	n/a	WORD	178826	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	PATIENT	1024	n/a	n/a	0	0	0
360.386	n/a	WORD	180193	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	GROUND	666	n/a	n/a	0	0	0
362.838	n/a	WORD	181419	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	COFFEE	341	n/a	n/a	0	0	0
365.64	n/a	WORD	182820	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CASHIER	254	n/a	n/a	0	0	0
368.444	n/a	WORD	184222	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	FLAG	573	n/a	n/a	0	0	0
370.062	n/a	START	185031	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
371.024	n/a	DISTRACTOR	185512	n/a	LTP293	ltpFR2	5	1	n/a	n/a	n/a	n/a	0	0	0
371.03	n/a	PROB	185515	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	18	6	4	8
372.396	n/a	PROB	186198	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	13	2	2	9
373.782	n/a	PROB	186891	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	17	1	8	8
374.984	n/a	PROB	187492	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	10	5	3	2
376.684	n/a	PROB	188342	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	24	9	7	9
378.836	n/a	PROB	189418	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	24	8	8	8
379.87	n/a	PROB	189935	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	13	7	4	2
381.172	n/a	PROB	190586	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	15	4	3	8
382.172	n/a	PROB	191086	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	11	5	3	3
383.424	n/a	PROB	191712	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	18	6	6	6
385.624	n/a	PROB	192812	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	21	5	9	7
387.376	n/a	PROB	193688	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	19	7	7	5
388.644	n/a	PROB	194322	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	12	5	4	3
390.03	n/a	PROB	195015	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	13	5	2	6
391.396	n/a	PROB	195698	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	19	8	4	7
392.854	n/a	STOP	196427	n/a	LTP293	ltpFR2	5	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
395.868	n/a	REC_START	197934	n/a	LTP293	ltpFR2	5	1	n/a	n/a	n/a	n/a	0	0	0
396.66	n/a	REC_WORD	198330	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	AUTHOR	61	n/a	n/a	0	0	0
397.726	n/a	REC_WORD	198863	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	JOURNAL	760	n/a	n/a	0	0	0
398.684	n/a	REC_WORD	199342	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CASKET	255	n/a	n/a	0	0	0
400.474	n/a	REC_WORD	200237	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	TOASTER	1472	n/a	n/a	0	0	0
401.498	n/a	REC_WORD	200749	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	RAFT	1159	n/a	n/a	0	0	0
402.334	n/a	REC_WORD	201167	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	PADDLE	1000	n/a	n/a	0	0	0
403.418	n/a	REC_WORD	201709	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	GROUND	666	n/a	n/a	0	0	0
404.79	n/a	REC_WORD	202395	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	COFFEE	341	n/a	n/a	0	0	0
409.028	n/a	REC_WORD	204514	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	SHELTER	1282	n/a	n/a	0	0	0
414.536	n/a	REC_WORD	207268	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	EMPIRE	530	n/a	n/a	0	0	0
415.496	n/a	REC_WORD	207748	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	PALACE	1006	n/a	n/a	0	0	0
420.828	n/a	REC_WORD	210414	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	VIKING	1565	n/a	n/a	0	0	0
423.9	n/a	REC_WORD	211950	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	LUGGAGE	847	n/a	n/a	0	0	0
425.57	n/a	REC_WORD	212785	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	SUITCASE	1403	n/a	n/a	0	0	0
430.35	n/a	REC_WORD	215175	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	TRUNK	-1	n/a	n/a	0	0	0
462.28	n/a	REC_WORD	231140	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CASHIER	254	n/a	n/a	0	0	0
463.738	n/a	REC_WORD	231869	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	CRAB	397	n/a	n/a	0	0	0
465.764	n/a	REC_WORD	232882	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	1	WAITER	1580	n/a	n/a	0	0	0
486.51	n/a	WORD	243255	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	AIRPLANE	12	n/a	n/a	0	0	0
488.98	n/a	WORD	244490	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	LUMBER	848	n/a	n/a	0	0	0
491.782	n/a	WORD	245891	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	AIRPORT	13	n/a	n/a	0	0	0
494.268	n/a	WORD	247134	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	OFFICE	972	n/a	n/a	0	0	0
496.854	n/a	WORD	248427	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	NIGHTGOWN	953	n/a	n/a	0	0	0
499.306	n/a	WORD	249653	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	POSTAGE	1113	n/a	n/a	0	0	0
501.976	n/a	WORD	250988	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	COWBOY	395	n/a	n/a	0	0	0
504.576	n/a	WORD	252288	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	DORM	488	n/a	n/a	0	0	0
507.112	n/a	WORD	253556	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	TWISTER	1530	n/a	n/a	0	0	0
509.83	n/a	WORD	254915	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	JUGGLER	763	n/a	n/a	0	0	0
512.4	n/a	WORD	256200	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	BASEMENT	94	n/a	n/a	0	0	0
515.168	n/a	WORD	257584	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	PLUTO	1092	n/a	n/a	0	0	0
517.938	n/a	WORD	258969	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	HEDGE	699	n/a	n/a	0	0	0
520.74	n/a	WORD	260370	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	TWIG	1527	n/a	n/a	0	0	0
523.176	n/a	WORD	261588	wordpools/wasnorm_wordpool_576.txt	LTP293	ltpFR2	5	2	BROOK	177	n/a	n/a	0	0	0
