subject,session,trial,serialpos,word,item_num,onset,sample,recalled,eeg_file,event_file
LTP293,3,1,1,OUTFIT,988,334.566,167283,1,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,2,BLADE,134,337.352,168676,1,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,3,KLEENEX,782,339.984,169992,1,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,4,SHERIFF,1284,342.486,171243,0,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,5,AGENT,10,345.086,172543,1,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,6,ITEM,746,347.706,173853,0,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,7,DASHBOARD,441,350.208,175104,0,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,8,OFFICE,972,352.828,176414,0,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,9,TURKEY,1520,355.33,177665,1,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,10,FREEZER,604,357.882,178941,1,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,11,FINGER,567,360.318,180159,1,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,12,BABY,64,362.736,181368,0,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
LTP293,3,1,13,HOSTESS,723,365.354,182677,1,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_eeg.edf,data/ds004395/sub-LTP293/ses-3/eeg/sub-LTP293_ses-3_task-ltpFR2_events.tsv
