subject,session,trial,serialpos,word,recalled,raw_cosine,centered_cosine,true_word_rank,true_word_percentile,top1_correct,top5_correct,top10_correct,centered_true_word_rank,centered_true_word_percentile,centered_top1_correct,centered_top5_correct,centered_top10_correct
LTP293,22,1,1,CATTLE,1,0.8769002012539829,-0.10821436259833375,41,0.9304347826086956,0,0,0,483,0.1617391304347826,0,0,0
LTP293,22,1,2,LIGHTNING,1,0.8652148647136497,-0.09675448497999901,139,0.76,0,0,0,474,0.17739130434782613,0,0,0
LTP293,22,1,3,GYMNAST,1,0.8612837902127651,-0.038845267585138,191,0.6695652173913044,0,0,0,377,0.34608695652173915,0,0,0
LTP293,22,1,4,JEANS,1,0.8616787833483585,-0.003131055154823118,187,0.6765217391304348,0,0,0,285,0.5060869565217392,0,0,0
LTP293,22,1,5,OX,1,0.7871116215590929,-0.05904442616837706,546,0.05217391304347829,0,0,0,400,0.3060869565217391,0,0,0
LTP293,22,1,6,TABLET,1,0.8594248250166627,-0.04186963356852624,205,0.6452173913043479,0,0,0,374,0.351304347826087,0,0,0
LTP293,22,1,7,DRESSER,1,0.8511118787463918,0.10018193273554692,275,0.5234782608695652,0,0,0,78,0.8660869565217392,0,0,0
LTP293,22,1,8,FRANCE,1,0.8378694169604136,-0.12033569735195332,361,0.3739130434782608,0,0,0,491,0.14782608695652177,0,0,0
LTP293,22,1,9,DONOR,0,0.8216399666496096,-0.05423138951927749,453,0.2139130434782609,0,0,0,398,0.3095652173913044,0,0,0
LTP293,22,1,10,CHEST,1,0.8190625877577475,0.058473327572325415,478,0.1704347826086956,0,0,0,131,0.7739130434782608,0,0,0
LTP293,22,1,11,ANTLER,0,0.8709257583335371,0.18470011462170524,120,0.7930434782608695,0,0,0,16,0.9739130434782609,0,0,0
LTP293,22,1,12,ELBOW,1,0.8627557224271648,0.17298537246109122,192,0.6678260869565218,0,0,0,20,0.9669565217391305,0,0,0
LTP293,22,1,13,ROBOT,0,0.8322172051580445,-0.1231362309488524,413,0.2834782608695652,0,0,0,522,0.0939130434782609,0,0,0
LTP293,22,1,14,SHOULDER,0,0.8663610445811477,-0.023631320084636045,156,0.7304347826086957,0,0,0,333,0.42260869565217396,0,0,0
LTP293,22,1,15,BEAST,1,0.8053125318731834,0.055904549459771344,507,0.12,0,0,0,186,0.6782608695652175,0,0,0
LTP293,22,1,16,CHIPMUNK,0,0.8681156338305703,-0.11040690690781818,104,0.8208695652173913,0,0,0,458,0.2052173913043478,0,0,0
LTP293,22,1,17,BACON,0,0.8057192353550929,0.11669893807706808,513,0.10956521739130431,0,0,0,93,0.84,0,0,0
LTP293,22,1,18,MILDEW,1,0.8838833555838,0.07193336378677256,19,0.9686956521739131,0,0,0,141,0.7565217391304347,0,0,0
LTP293,22,1,19,CABBAGE,1,0.8321719030675748,-0.08505792011716644,411,0.28695652173913044,0,0,0,424,0.2643478260869565,0,0,0
LTP293,22,1,20,GRIZZLY,1,0.8434078984001196,-0.11474159687494709,327,0.43304347826086953,0,0,0,461,0.19999999999999996,0,0,0
LTP293,22,1,21,HAND,1,0.8075616165118651,-0.10419049451787106,499,0.13391304347826083,0,0,0,454,0.2121739130434782,0,0,0
LTP293,22,1,22,LASER,0,0.7815638397152904,0.06636345948064797,559,0.029565217391304355,0,0,0,175,0.6973913043478261,0,0,0
LTP293,22,1,23,RIFLE,0,0.8488271746258058,-0.04633530120507866,284,0.5078260869565218,0,0,0,372,0.35478260869565215,0,0,0
LTP293,22,1,24,SERVER,0,0.8146390239554349,-0.006788742776686873,492,0.1460869565217391,0,0,0,286,0.5043478260869565,0,0,0
LTP293,22,2,1,RECORD,0,0.8485581898409956,-0.03199868416025637,309,0.46434782608695657,0,0,0,362,0.37217391304347824,0,0,0
LTP293,22,2,2,COBRA,1,0.7886716136786401,-0.20696176419733409,537,0.0678260869565217,0,0,0,565,0.019130434782608674,0,0,0
LTP293,22,2,3,OUTDOORS,1,0.825597828350839,0.0685253643639425,451,0.21739130434782605,0,0,0,135,0.7669565217391304,0,0,0
LTP293,22,2,4,LETTUCE,1,0.8815611315222522,0.04920430317562746,71,0.8782608695652174,0,0,0,165,0.7147826086956521,0,0,0
LTP293,22,2,5,SALAD,1,0.8704948686591192,0.18190324913424608,133,0.7704347826086957,0,0,0,26,0.9565217391304348,0,0,0
LTP293,22,2,6,LAGOON,1,0.8315956158420909,0.022940129683810758,372,0.35478260869565215,0,0,0,225,0.6104347826086957,0,0,0
LTP293,22,2,7,FRIAR,0,0.8444526937403875,-0.029615988428272216,327,0.43304347826086953,0,0,0,345,0.4017391304347826,0,0,0
LTP293,22,2,8,TURKEY,1,0.870977288577634,-0.094768030897697,140,0.7582608695652174,0,0,0,465,0.19304347826086954,0,0,0
LTP293,22,2,9,PORTRAIT,1,0.8761940982025,-0.04757161759098107,108,0.8139130434782609,0,0,0,386,0.33043478260869563,0,0,0
LTP293,22,2,10,SNAIL,1,0.8684911585616693,-0.11958894931398237,157,0.728695652173913,0,0,0,487,0.1547826086956522,0,0,0
LTP293,22,2,11,FLEET,0,0.8354875091836053,-0.012888596677741376,410,0.288695652173913,0,0,0,321,0.4434782608695652,0,0,0
