subject,session,n_trials,recalled,forgotten,recall_rate,mean_embedding_fidelity,mean_centered_percentile
LTP122,7,576,500,76,0.8681,0.84861,0.54159
LTP122,15,576,469,107,0.8142,0.84764,0.49806
LTP187,9,576,234,342,0.4062,0.84727,0.49463
LTP187,11,576,169,407,0.2934,0.84771,0.52794
LTP207,18,576,140,436,0.2431,0.84664,0.54638
LTP207,21,576,102,474,0.1771,0.83636,0.51275
LTP210,6,576,135,441,0.2344,0.8488,0.53009
LTP210,7,576,150,426,0.2604,0.84721,0.52514
LTP246,13,576,398,178,0.691,0.84847,0.51885
LTP246,19,576,353,223,0.6128,0.84855,0.52016
LTP250,16,576,98,478,0.1701,0.84368,0.51837
LTP250,20,576,94,482,0.1632,0.84769,0.52681
LTP260,6,576,510,66,0.8854,0.81657,0.51082
LTP260,7,576,500,76,0.8681,0.82561,0.53268
LTP269,12,576,187,389,0.3247,0.84768,0.54932
LTP269,20,576,186,390,0.3229,0.84545,0.51816
LTP273,15,576,147,429,0.2552,0.84625,0.53335
LTP273,21,576,188,388,0.3264,0.84618,0.51811
LTP274,1,576,52,524,0.0903,0.83088,0.51475
LTP274,3,576,145,431,0.2517,0.82104,0.50677
LTP279,12,576,304,272,0.5278,0.84423,0.50046
LTP279,16,576,200,376,0.3472,0.83218,0.49458
LTP280,7,576,151,425,0.2622,0.84617,0.49616
LTP280,18,576,205,371,0.3559,0.84752,0.47107
LTP290,9,576,160,416,0.2778,0.8478,0.54803
LTP290,10,576,84,492,0.1458,0.84769,0.51281
LTP293,5,576,285,291,0.4948,0.8468,0.53544
LTP293,22,576,266,310,0.4618,0.8467,0.51134
LTP295,7,576,493,83,0.8559,0.84773,0.51324
LTP295,15,576,540,36,0.9375,0.84724,0.51065
LTP296,0,576,174,402,0.3021,0.84845,0.53227
LTP296,19,576,254,322,0.441,0.84618,0.54109
LTP297,13,576,326,250,0.566,0.84717,0.50153
LTP297,20,576,377,199,0.6545,0.84702,0.49336
LTP298,5,576,291,285,0.5052,0.84589,0.51456
LTP298,7,576,232,344,0.4028,0.84432,0.51424
LTP299,2,576,329,247,0.5712,0.84739,0.50706
LTP299,6,576,282,294,0.4896,0.847,0.49714
LTP300,5,576,275,301,0.4774,0.84684,0.54167
LTP300,7,576,212,364,0.3681,0.8475,0.54631
LTP301,8,576,96,480,0.1667,0.84788,0.52111
LTP301,14,576,105,471,0.1823,0.84775,0.52935
LTP302,13,576,189,387,0.3281,0.84633,0.48441
LTP302,17,576,220,356,0.3819,0.84774,0.53048
LTP303,10,576,386,190,0.6701,0.84569,0.53905
LTP303,22,576,502,74,0.8715,0.84665,0.53925
LTP304,18,576,292,284,0.5069,0.84731,0.52769
LTP304,22,576,282,294,0.4896,0.84654,0.52124
LTP307,6,576,398,178,0.691,0.84755,0.51179
LTP307,20,576,388,188,0.6736,0.8491,0.50592
LTP311,6,576,289,287,0.5017,0.84577,0.50941
LTP311,20,576,349,227,0.6059,0.84921,0.53521
LTP317,7,576,146,430,0.2535,0.8472,0.51039
LTP317,12,576,198,378,0.3438,0.84631,0.50626
LTP321,7,576,196,380,0.3403,0.84622,0.55082
LTP321,10,576,211,365,0.3663,0.84708,0.48944
LTP322,15,576,267,309,0.4635,0.84919,0.50236
LTP322,21,576,390,186,0.6771,0.84595,0.48884
LTP325,4,576,209,367,0.3628,0.84963,0.51047
LTP325,17,576,212,364,0.3681,0.84949,0.52247
LTP327,8,576,482,94,0.8368,0.84688,0.52081
LTP327,12,576,485,91,0.842,0.84654,0.51415
LTP329,11,576,257,319,0.4462,0.84951,0.54526
LTP329,17,576,294,282,0.5104,0.8471,0.52691
